iso_code,country_wb,population_density,health_expenditure_per_capita,health_expenditure_pct_gdp
CHE,Switzerland,220.31454103721,11197.76464844,11.95855618
CHI,Channel Islands,842.126262626263,,
CHL,Chile,26.192118041714,1576.69287109,9.72450161
CHN,China,150.439753691066,670.25897217,5.25590324
CIV,Cote d'Ivoire,93.2067169811321,92.39588928,3.76207662
CMR,Cameroon,56.9392608576083,72.59731293,4.34109783
COD,"Congo, Dem. Rep.",43.7347795593392,21.58848572,3.86727977
COG,"Congo, Rep.",17.2538301610542,78.60149384,3.46133351
COL,Colombia,46.1362532672375,568.84130859,9.14150524
COM,Comoros,439.642127888232,100.50016785,6.46315002
CPV,Cabo Verde,128.200744416873,262.42272949,6.60773611
CRI,Costa Rica,99.0988640814728,977.14831543,7.61130476
CSS,Caribbean small states,11.2392890419813,851.953010679747,6.45294655154764
CUB,Cuba,107.149980732177,,13.78746605
CUW,Curacao,346.72972972973,,
CYM,Cayman Islands,292.116666666667,,
CYP,Cyprus,142.565909090909,2947.81494141,8.87445068
CZE,Czechia,136.108349053848,2538.03344727,9.15420723
DEU,Germany,238.118085806692,6653.58349609,12.72403336
DJI,Djibouti,48.3713546160483,86.88237762,2.87128091
DMA,Dominica,89.6026666666667,521.41455078,6.31142521
DNK,Denmark,146.418325,7429.99023438,10.65575886
DOM,Dominican Republic,230.786990834893,433.89172363,5.08839989
DZA,Algeria,18.7934447084904,208.93911743,5.02188873
EAP,East Asia & Pacific (excluding high income),133.025368143379,515.527340657811,5.15121923765407
EAR,Early-demographic dividend,102.970775558914,186.693713270936,5.07850443515042
EAS,East Asia & Pacific,97.005135071124,899.287259231387,6.81190699632959
ECA,Europe & Central Asia (excluding high income),42.6331333883906,373.799664319144,5.66989678345193
ECS,Europe & Central Asia,33.6861718876024,2865.36204038907,10.3759981961614
ECU,Ecuador,71.1968674504751,507.65136719,8.37526226
EGY,"Egypt, Arab Rep.",111.464169973379,176.93664551,4.60955143
EMU,Euro area,126.88812174621,4808.5266745298,11.1751704049259
ERI,Eritrea,27.6467466920618,27.58759499,4.17839003
ESP,Spain,94.9382927184248,3188.8515625,10.34419918
EST,Estonia,31.1329122807018,2091.15649414,7.47591066
ETH,Ethiopia,108.230378298522,26.06931114,3.20779967
EUU,European Union,111.646373360122,4245.26027453482,10.8123297427516
FCS,Fragile and conflict affected situations,49.716034688003,82.7020795183441,4.95791125739415
FIN,Finland,18.2301659134121,5261.90966797,9.90969753
FJI,Fiji,50.1757525998905,331.58413696,7.06084681
FRA,France,125.879601076167,5364.89746094,12.24894238
FRO,Faroe Islands,38.9021897810219,,
FSM,"Micronesia, Fed. Sts.",159.462857142857,399.43988037,11.37430477
GAB,Gabon,9.22389878526798,228.46922302,2.79254127
GBR,United Kingdom,276.873475798785,5645.40136719,12.08347321
GEO,Georgia,64.8834808775675,524.32415771,10.53835487
GHA,Ghana,142.918455784436,94.40388489,3.86030865
GIB,Gibraltar,3685.8,,
GIN,Guinea,55.7973018069347,44.10476303,3.7175858
GMB,"Gambia, The",254.546442687747,29.77283478,3.74321485
GNB,Guinea-Bissau,73.2162517780939,70.21189117,8.39794922
GNQ,Equatorial Guinea,62.7018181818182,243.81242371,3.5103004
GRC,Greece,81.9953995345229,1846.37304688,9.03178692
GRD,Grenada,343.2,508.09500122,5.27963448
GRL,Greenland,0.138026556218784,,
GTM,Guatemala,164.227790220231,361.51858521,7.35698891
GUM,Guam,303.203703703704,,
GUY,Guyana,3.86228095102775,457.86633301,4.64326477
HKG,"Hong Kong SAR, China",7060.09523809524,,
