country,code,continent,population,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,median_age,gdp_per_capita,hospital_beds_per_thousand,life_expectancy,diabetes_prevalence
Bulgaria,BGR,Europe,6825862.0,1341094.0,196472.47,38778.0,5681.0405,31.583748,30.443129,11.257626,36.167572992700734,44.15399932861328,34221.53125,8.199999809265137,74.0342025756836,7.400000095367432
Burkina Faso,BFA,Africa,22509038.0,22231.0,987.6477,400.0,17.77064,27.051752,23.245539,0.018019428,20.494908759124087,17.041000366210938,2547.67236328125,0.2000000029802322,60.70000076293945,4.5
Burundi,BDI,Africa,13321102.0,54569.0,4096.433,15.0,1.126033,0.27707168,0.27265763,0.0023571623,15.849945255474454,15.67199993133545,1051.25927734375,0.6899999976158142,62.88190078735352,4.300000190734863
Cambodia,KHM,Asia,17201721.0,139326.0,8099.5386,3056.0,177.65665,89.0415,85.417465,62.683903,45.121569343065694,25.59600067138672,7008.88916015625,0.7300000190734863,70.52799987792969,7.5
Cameroon,CMR,Africa,27632770.0,125325.0,4535.376,1974.0,71.43692,13.5843525,11.570632,2.9079967,31.54181569343066,17.62299919128418,4916.93359375,2.650000095367432,62.44279861450195,6.900000095367432
Canada,CAN,North America,38821259.0,4819055.0,124134.44,55282.0,1424.0135,89.49461,81.80634,89.87417,50.31122262773722,40.25299835205078,56706.82421875,2.539999961853028,81.24929809570312,7.699999809265137
Cape Verde,CPV,Africa,519750.0,64550.0,124194.32,417.0,802.3088,68.63569,59.39779,0.14410774,48.15736313868613,27.32200050354004,9848.953125,2.2100000381469727,75.90679931640625,6.800000190734863
Cayman Islands,CYM,North America,71610.0,31472.0,439491.7,37.0,516.6876,86.737885,84.75911,33.604244,,37.499000549316406,79675.859375,,79.98410034179688,11.100000381469728
Central African Republic,CAF,Africa,5098038.0,15493.0,3039.0122,113.0,22.16539,51.00764,48.74395,7.1835675,23.903476277372263,14.29800033569336,1111.2193603515625,1.0,18.817699432373047,7.599999904632568
Chad,TCD,Africa,18455319.0,7702.0,417.33228,194.0,10.511874,27.892593,27.202782,21.90465,36.31362226277373,15.10200023651123,2412.865966796875,0.1500000059604644,54.52750015258789,7.300000190734863
Chile,CHL,South America,19553033.0,5410524.0,276710.22,64497.0,3298.5676,92.51003,90.523636,140.51492,51.386925182481754,35.5260009765625,30182.787109375,1.940000057220459,79.17620086669922,12.199999809265137
China,CHN,Asia,1425179562.0,99381761.0,69732.8,122398.0,85.882515,92.48145,90.12756,58.523163,73.31321167883212,38.53400039672852,23845.619140625,5.630000114440918,78.20210266113281,11.899999618530272
Colombia,COL,South America,51737944.0,6403299.0,123764.08,142812.0,2760.2952,83.13468,71.90879,28.884434,50.66514598540146,31.18099975585937,18477.21484375,1.7000000476837158,76.50810241699219,8.399999618530273
Comoros,COM,Africa,834191.0,9109.0,10919.562,161.0,193.00136,52.60486,47.60061,0.0,,20.101999282836918,3482.534912109375,,66.48059844970703,10.800000190734863
Congo,COG,Africa,6035104.0,25234.0,4181.2036,389.0,64.45622,11.52855,10.838571,0.0,43.53104927007299,18.20199966430664,6181.470703125,,65.00029754638672,8.100000381469727
Cook Islands,COK,Oceania,14747.0,7375.0,500101.72,2.0,135.6208,102.47508,99.87116,69.43785,,34.10900115966797,,,75.07869720458984,
Costa Rica,CRI,North America,5081764.0,1242734.0,244547.77,9396.0,1848.9642,91.516174,85.98951,58.769493,43.3070802919708,33.5359992980957,26973.435546875,1.1399999856948853,79.31639862060547,9.800000190734863
Cote d'Ivoire,CIV,Africa,30395004.0,,,,,44.64014,40.020737,10.326407,24.87639598540146,17.992000579833984,6747.0380859375,,61.562198638916016,5.0
Croatia,HRV,Europe,3907031.0,1371673.0,351078.1,18805.0,4813.1177,59.457554,57.63479,25.495012,33.40400547445255,44.61100006103516,42829.19921875,5.599999904632568,78.27790069580078,10.5
Cuba,CUB,North America,11059822.0,1113834.0,100709.94,8530.0,771.26013,97.70112,90.90253,79.501434,48.01255474452555,41.505001068115234,,4.329999923706055,77.62909698486328,9.399999618530272
Curacao,CUW,North America,185350.0,45883.0,247547.88,305.0,1645.5355,58.592392,54.42946,26.55139,,37.95399856567383,28762.05859375,,76.72869873046875,13.399999618530272
Cyprus,CYP,Europe,1331376.0,718887.0,764467.6,1364.0,1450.4836,71.37496,69.774,55.299793,45.09606751824818,37.3390007019043,52635.58203125,2.150000095367432,80.43370056152344,10.0
Czechia,CZE,Europe,10673216.0,4887336.0,457906.6,43931.0,4116.004,65.41614,64.60811,52.293404,39.48719890510949,42.64500045776367,47963.8984375,6.539999961853027,79.16480255126953,7.599999904632568
Democratic Republic of Congo,COD,Africa,102396974.0,101010.0,986.45496,1474.0,14.394957,16.646704,14.062447,0.0,37.43197080291971,15.765999794006348,1602.074951171875,,60.97890090942383,7.699999809265137
Denmark,DNK,Europe,5902901.0,3453680.0,585081.8,10012.0,1696.1152,80.40999,79.82519,61.27506,35.377308394160586,41.21599960327149,71431.2890625,2.430000066757202,81.29060363769531,6.400000095367432
Djibouti,DJI,Africa,1137101.0,15690.0,13798.247,189.0,166.21214,37.074368,35.28341,0.0,39.840583941605836,24.084999084472656,6871.12451171875,1.399999976158142,65.54019927978516,6.5
Dominica,DMA,North America,66847.0,16047.0,240055.66,74.0,1107.0055,49.358982,45.864437,5.973342,39.841094890510945,35.29499816894531,18739.36328125,3.9700000286102295,71.08059692382812,12.899999618530272
Dominican Republic,DOM,North America,11230734.0,661103.0,58865.52,4384.0,390.3574,65.5985,54.586662,22.929419,45.041660583941606,27.316999435424805,24229.888671875,0.75,74.21080017089844,17.600000381469727
East Timor,TLS,Asia,1369299.0,23460.0,17132.854,138.0,100.781494,64.76584,58.552513,24.844902,36.23715328467153,20.63999938964844,3890.95751953125,0.3799999952316284,67.36840057373047,3.200000047683716
